date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:41:44	55/55	---MCZ	200	added ('OK')	text/plain	date:Wed,%2009%20Nov%202016%2013:41:43%20GMT	https://ogpau.govspace.gov.au/robots.txt		(from )
00:41:48	65223/65223	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202016%2013:41:47%20GMT	https://ogpau.govspace.gov.au/	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/index.html	(from )
00:42:06	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202016%2013:42:05%20GMT	http://www.agls.gov.au/agls/terms/	/home/puzzleduck/websites/OGP/www.agls.gov.au/agls/terms/index.html	(from https://ogpau.govspace.gov.au/)
00:42:08	5842/5842	---MC-	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202016%2013:42:03%20GMT	http://gmpg.org/xfn/11	/home/puzzleduck/websites/OGP/gmpg.org/xfn/11.html	(from https://ogpau.govspace.gov.au/)
00:42:08	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2009%20Nov%202016%2013:41:47%20GMT	https://ogpau.wikispaces.com/	/home/puzzleduck/websites/OGP/ogpau.wikispaces.com/index.html	(from )
00:42:19	3005/3005	---M-Z	200	added ('OK')	text/css	etag:%2257d109e1-bbd%22	https://ogpau.govspace.gov.au/wp-content/themes/twentyeleven-govspace/style.css	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-content/themes/twentyeleven-govspace/style.css	(from https://ogpau.govspace.gov.au/)
00:42:27	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2009%20Nov%202016%2013:42:26%20GMT	https://ogpau.govspace.gov.au/xmlrpc.php	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/xmlrpc.2.delayed	(from https://ogpau.govspace.gov.au/)
00:42:39	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2009%20Nov%202016%2013:42:38%20GMT	http://s.w.org/	/home/puzzleduck/websites/OGP/s.w.org/index.html	(from https://ogpau.govspace.gov.au/)
00:42:41	1156/1156	---M-Z	200	added ('OK')	text/css	etag:%2257d109d3-484%22	https://ogpau.govspace.gov.au/wp-content/plugins/table-of-contents-plus/screen.min.css	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-content/plugins/table-of-contents-plus/screen.min.css	(from https://ogpau.govspace.gov.au/)
00:42:46	13140/13140	---MC-	200	added ('OK')	application/rss+xml	etag:%22bac7bcdd9b278b3e4e38d12d4fb1c17a%22	https://ogpau.govspace.gov.au/feed/	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/feed/index.html	(from https://ogpau.govspace.gov.au/)
00:42:46	11015/11015	---MC-	200	added ('OK')	application/rss+xml	etag:%22794ec094c1e4b92eb337f10cc0e0cf06%22	https://ogpau.govspace.gov.au/comments/feed/	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/comments/feed/index.html	(from https://ogpau.govspace.gov.au/)
00:42:49	2708/2708	---M-Z	200	added ('OK')	text/css	etag:%2257d109da-a94%22	https://ogpau.govspace.gov.au/wp-content/plugins/wp-polls/polls-css.css	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-content/plugins/wp-polls/polls-css.css	(from https://ogpau.govspace.gov.au/)
00:42:51	65/65	---M--	200	added ('OK')	image/gif	etag:%2257d109da-41%22	https://ogpau.govspace.gov.au/wp-content/plugins/wp-polls/images/default/pollbg.gif	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-content/plugins/wp-polls/images/default/pollbg.gif	(from https://ogpau.govspace.gov.au/)
